list_name,name,label,region
choices_name_primary_cooperative,Sigem,Sigem,1
choices_name_primary_cooperative,Birhan,Birhan,1
choices_name_primary_cooperative,ሕውነት,ሕውነት,1
choices_name_primary_cooperative,ሰገን,ሰገን,1
choices_name_primary_cooperative,መሰረት,መሰረት,1
choices_name_primary_cooperative,ፍተሓዊት,ፍተሓዊት,1
choices_name_primary_cooperative,ምዕባለ,ምዕባለ,1
choices_name_primary_cooperative,ዓወት,ዓወት,1
choices_name_primary_cooperative,ሓድነት,ሓድነት,1
choices_name_primary_cooperative,ማዕበል,ማዕበል,1
choices_name_primary_cooperative,ፍ/ሰላም,ፍ/ሰላም,1
choices_name_primary_cooperative,ፍ/ጀጋኑ,ፍ/ጀጋኑ,1
choices_name_primary_cooperative,ሸዊት,ሸዊት,1
choices_name_primary_cooperative,ፍ/ልምዓት,ፍ/ልምዓት,1
choices_name_primary_cooperative,ተከዘ,ተከዘ,1
choices_name_primary_cooperative,ራህዋ,ራህዋ,1
choices_name_primary_cooperative,ፍ/ሂወት,ፍ/ሂወት,1
choices_name_primary_cooperative,መልንየም,መልንየም,1
choices_name_primary_cooperative,ረዊና,ረዊና,1
choices_name_primary_cooperative,Birhu Tesfa,Birhu Tesfa,1
choices_name_primary_cooperative,Milenu,Milenu,1
choices_name_primary_cooperative,Hizbi Limat,Hizbi Limat,1
choices_name_primary_cooperative,Marta,Marta,1
choices_name_primary_cooperative,Fire Degena,Fire Degena,1
choices_name_primary_cooperative,Dedebit,Dedebit,1
choices_name_primary_cooperative,Wihdet,Wihdet,1
choices_name_primary_cooperative,Azmera,Azmera,1
choices_name_primary_cooperative,Tesfa,Tesfa,1
choices_name_primary_cooperative,Letencheal,Letencheal,1
choices_name_primary_cooperative,Lekatiti,Lekatiti,1
choices_name_primary_cooperative,Mairnet,Mairnet,1
choices_name_primary_cooperative,Adi Gishti,Adi Gishti,1
choices_name_primary_cooperative,Fire Tsibah,Fire Tsibah,1
choices_name_primary_cooperative,Metkel,Metkel,1
choices_name_primary_cooperative,Mellinium,Mellinium,1
choices_name_primary_cooperative,Kasech,Kasech,1
choices_name_primary_cooperative,Yekatit,Yekatit,1
choices_name_primary_cooperative,Taba Weyane,Taba Weyane,1
choices_name_primary_cooperative,Eleni,Eleni,1
choices_name_primary_cooperative,Silase,Silase,1
choices_name_primary_cooperative,Tirhas,Tirhas,1
choices_name_primary_cooperative,Walta Asgeda,Walta Asgeda,1
choices_name_primary_cooperative,Hidase May Feres,Hidase May Feres,1
choices_name_primary_cooperative,Tintag,Tintag,1
choices_name_primary_cooperative,Ahadu,Ahadu,1
choices_name_primary_cooperative,Wedi Nirae,Wedi Nirae,1
choices_name_primary_cooperative,Asgede,Asgede,1
choices_name_primary_cooperative,Segen,Segen,1
choices_name_primary_cooperative,Aser Meles,Aser Meles,1
choices_name_primary_cooperative,Bete Marya,Bete Marya,1
choices_name_primary_cooperative,Hidase Bonake,Hidase Bonake,1
choices_name_primary_cooperative,Walta Hintset,Walta Hintset,1
choices_name_primary_cooperative,Raei,Raei,1
choices_name_primary_cooperative,Tinges,Tinges,1
choices_name_primary_cooperative,Hawelti,Hawelti,1
choices_name_primary_cooperative,Fire Hiwet,Fire Hiwet,1
choices_name_primary_cooperative,Albel,Albel,1
choices_name_primary_cooperative,Dese,Dese,1
choices_name_primary_cooperative,Abay,Abay,1
choices_name_primary_cooperative,Kembel,Kembel,1
choices_name_primary_cooperative,Nigus,Nigus,1
choices_name_primary_cooperative,Bebako,Bebako,1
choices_name_primary_cooperative,Meazay,Meazay,1
choices_name_primary_cooperative,Mengesha,Mengesha,1
choices_name_primary_cooperative,Shishay,Shishay,1
choices_name_primary_cooperative,Kudus Michael,Kudus Michael,1
choices_name_primary_cooperative,Gobo Jeganu,Gobo Jeganu,1
choices_name_primary_cooperative,Delesa,Delesa,1
choices_name_primary_cooperative,Feleg,Feleg,1
choices_name_primary_cooperative,Tekli Semaitat,Tekli Semaitat,1
choices_name_primary_cooperative,Eyasu,Eyasu,1
choices_name_primary_cooperative,Fenkil,Fenkil,1
choices_name_primary_cooperative,Hamlawit,Hamlawit,1
choices_name_primary_cooperative,Rise Bayta,Rise Bayta,1
choices_name_primary_cooperative,Capital,Capital,1
choices_name_primary_cooperative,Zalambesa,Zalambesa,1
choices_name_primary_cooperative,Laku,Laku,1
choices_name_primary_cooperative,Waila Nihbi,Waila Nihbi,1
choices_name_primary_cooperative,Ayfa,Ayfa,1
choices_name_primary_cooperative,Tibeyeley,Tibeyeley,1
choices_name_primary_cooperative,Adi Tsetser,Adi Tsetser,1
choices_name_primary_cooperative,Lemelem Tekeze,Lemelem Tekeze,1
choices_name_primary_cooperative,Sebrom,Sebrom,1
choices_name_primary_cooperative,Tetieley,Tetieley,1
choices_name_primary_cooperative,May Abay,May Abay,1
choices_name_primary_cooperative,Filmawit,Filmawit,1
choices_name_primary_cooperative,Sileshi,Sileshi,1
choices_name_primary_cooperative,Adi Awala,Adi Awala,1
choices_name_primary_cooperative,Seret Mellinium,Seret Mellinium,1
choices_name_primary_cooperative,Enba Aredom,Enba Aredom,1
choices_name_primary_cooperative,Lewti Nimray,Lewti Nimray,1
choices_name_primary_cooperative,Mebrat Hareko,Mebrat Hareko,1
choices_name_primary_cooperative,Fire Siweat,Fire Siweat,1
choices_name_primary_cooperative,Maernet,Maernet,1
choices_name_primary_cooperative,Kokeb Senaile,Kokeb Senaile,1
choices_name_primary_cooperative,Bahre Tsehay,Bahre Tsehay,1
choices_name_primary_cooperative,Shim Bahri,Shim Bahri,1
choices_name_primary_cooperative,Meseret Mibale,Meseret Mibale,1
choices_name_primary_cooperative,Fire Weyni,Fire Weyni,1
choices_name_primary_cooperative,Hayki Hilet,Hayki Hilet,1
choices_name_primary_cooperative,Adi Mear,Adi Mear,1
choices_name_primary_cooperative,Gelaw Hawsi,Gelaw Hawsi,1
choices_name_primary_cooperative,Menbere Kidusan,Menbere Kidusan,1
choices_name_primary_cooperative,Amanit,Amanit,1
choices_name_primary_cooperative,Emni Ankelalu,Emni Ankelalu,1
choices_name_primary_cooperative,Meadi,Meadi,1
choices_name_primary_cooperative,Debre Nazireth,Debre Nazireth,1
choices_name_primary_cooperative,Akeza,Akeza,1
choices_name_primary_cooperative,Diare,Diare,1
choices_name_primary_cooperative,Endaba Hadera,Endaba Hadera,1
choices_name_primary_cooperative,Emba Koraro,Emba Koraro,1
choices_name_primary_cooperative,T/Terie,T/Terie,1
choices_name_primary_cooperative,Aregen,Aregen,1
choices_name_primary_cooperative,Chine,Chine,1
choices_name_primary_cooperative,Adi Gezaiti,Adi Gezaiti,1
choices_name_primary_cooperative,Atsela,Atsela,1
choices_name_primary_cooperative,Adi Edaga,Adi Edaga,1
choices_name_primary_cooperative,Bisrat,Bisrat,1
