list_name,name,label,region,zone,woreda
choices_kebele,141008110008,8,14,1410,141008
choices_kebele,141009110009,9,14,1410,141009
choices_kebele,141010110010,10,14,1410,141010
choices_kebele,141011110011,11,14,1410,141011
choices_kebele,141012110012,12,14,1410,141012
choices_kebele,141013110013,13,14,1410,141013
choices_kebele,141101111001,1,14,1411,141101
choices_kebele,141102111002,2,14,1411,141102
choices_kebele,141103111003,3,14,1411,141103
choices_kebele,141104111004,4,14,1411,141104
choices_kebele,141105111005,5,14,1411,141105
choices_kebele,141106111006,6,14,1411,141106
choices_kebele,141107111007,7,14,1411,141107
choices_kebele,141107111107,7,14,1411,141107
choices_kebele,141108111008,8,14,1411,141108
choices_kebele,141109111009,9,14,1411,141109
choices_kebele,141110111010,10,14,1411,141110
choices_kebele,141111101011,6,14,1411,141111
choices_kebele,20102101001,Elidar,2,201,20102
choices_kebele,20102201001,Dicheto,2,201,20102
choices_kebele,20104101001,Humodoyta,2,201,20104
choices_kebele,20105101001,Zero One,2,201,20105
choices_kebele,20106101001,Chifra 01,2,201,20106
choices_kebele,20108101001,Eliweha_01,2,201,20108
choices_kebele,20109101001,Gewili,2,201,20109
choices_kebele,20110101001,Kulisu Koma,2,201,20110
choices_kebele,20110101002,Amol Doruwa,2,201,20110
choices_kebele,20110101003,Gugubiya,2,201,20110
choices_kebele,20110101004,Biri Daba,2,201,20110
choices_kebele,20110101005,Hadele Gera,2,201,20110
choices_kebele,20110101006,Sisele Demum,2,201,20110
choices_kebele,20110101007,Abro-Beri Fage,2,201,20110
choices_kebele,20111101001,Galeli Buri,2,201,20111
choices_kebele,20111101002,Aradona Ali Etsha,2,201,20111
choices_kebele,20111101003,Gale Meda,2,201,20111
choices_kebele,20111101004,Dala,2,201,20111
choices_kebele,20111101005,Alganeta,2,201,20111
choices_kebele,20111101006,Manet,2,201,20111
choices_kebele,20111101007,Kodoto,2,201,20111
choices_kebele,20202101001,Belbel Ena Konaba,2,202,20202
choices_kebele,20202201001,Adedena Feres Degie,2,202,20202
choices_kebele,20204101001,Adu,2,202,20204
choices_kebele,20205101001,Berehale 01,2,202,20205
choices_kebele,20206101001,Adikuwa,2,202,20206
choices_kebele,20207101001,Aligenda,2,202,20207
choices_kebele,20208101001,Sodonta,2,202,20208
choices_kebele,20209101001,Murga,2,202,20209
choices_kebele,20209101002,Asangula,2,202,20209
choices_kebele,20209101003,Urkudu,2,202,20209
choices_kebele,20209101004,Hidimu,2,202,20209
choices_kebele,20209101005,Dear Ara,2,202,20209
choices_kebele,20209101006,Engela,2,202,20209
choices_kebele,20209101007,Asalil,2,202,20209
choices_kebele,20209101008,Haremeli,2,202,20209
choices_kebele,20301101001,Awash Arba,2,203,20301
choices_kebele,20301201001,Weror,2,203,20301
choices_kebele,20301301001,Serkamo,2,203,20301
choices_kebele,20301401001,Sidhafage,2,203,20301
choices_kebele,20301501001,Andido,2,203,20301
choices_kebele,20301601001,Gedamaytu,2,203,20301
choices_kebele,20303101001,Meteka,2,203,20303
choices_kebele,20303201001,Gewane 01,2,203,20303
choices_kebele,20304101001,Zero One,2,203,20304
choices_kebele,20305101001,Kebele 07,2,203,20305
choices_kebele,20305101002,Kebele 02,2,203,20305
choices_kebele,20305101003,Kebele 01,2,203,20305
choices_kebele,20305101004,Kebele 03,2,203,20305
choices_kebele,20305101005,Kebele 04,2,203,20305
choices_kebele,20305101006,Kebele 05,2,203,20305
choices_kebele,20305101007,Kebele 06,2,203,20305
choices_kebele,20306101001,Gachene,2,203,20306
choices_kebele,20307101001,Debel,2,203,20307
choices_kebele,20307201001,Gefrem,2,203,20307
choices_kebele,20307301001,Gelalonaserakoma,2,203,20307
choices_kebele,20401101001,Derayitu,2,204,20401
choices_kebele,20402101001,Alele Subula,2,204,20402
choices_kebele,20403101001,Alelo,2,204,20403
choices_kebele,20404101001,Mesgid,2,204,20404
choices_kebele,20404201001,Dibina,2,204,20404
choices_kebele,20405101001,Kelewan01,2,204,20405
choices_kebele,20501101001,Nemalefen,2,205,20501
choices_kebele,20502101001,Harihamora Na Hamergera,2,205,20502
choices_kebele,20503101001,Wederage,2,205,20503
choices_kebele,20504101001,Dalifage Kebele01,2,205,20504
choices_kebele,20505101001,Hadele'ela_ketema,2,205,20505
choices_kebele,20601101001,Semera University and Hayukele/Samera 02 Kebele,2,206,20601
choices_kebele,20601101002,Alaytole Gomo/ Semera 01 Kebele,2,206,20601
choices_kebele,20601101003,Lubaburina Asegertu/Logia 01 Kebele,2,206,20601
choices_kebele,20601101004,Boluham Ena Markeloburi/Logia 02 Kebele,2,206,20601
choices_kebele,20601101005,Asmum Fodo Ena Hadedera/Logia 03 Kebele,2,206,20601
choices_kebele,20101888001,Degabana Skoyota,2,201,20101
choices_kebele,20101888002,Seha Ena Guhun,2,201,20101
choices_kebele,20101888003,Serdo,2,201,20101
choices_kebele,20101888004,Ayirolafina Gebelayitu,2,201,20101
choices_kebele,20101888005,Degana Borso,2,201,20101
choices_kebele,20101888006,Burumudala Ena Gayidaro,2,201,20101
choices_kebele,20101888007,Debele Ena Halebery,2,201,20101
choices_kebele,20101888008,Beyahayle,2,201,20101
choices_kebele,20101888009,Bebedeta Ena Koroliy,2,201,20101
choices_kebele,20101888010,Hanakasiy Ena Arado,2,201,20101
choices_kebele,20101888011,Detbahriy,2,201,20101
choices_kebele,20102888001,Adgeno Ena Temekule,2,201,20102
choices_kebele,20102888002,Burena Daba,2,201,20102
choices_kebele,20102888003,Manda Ena Musa Ali,2,201,20102
choices_kebele,20102888004,Gewahna Gebelti,2,201,20102
choices_kebele,20102888005,Sueula Ena Asaeilu,2,201,20102
choices_kebele,20102888006,Emino Na Esona Temik,2,201,20102
choices_kebele,20102888007,Meskana Geleblu,2,201,20102
choices_kebele,20102888008,Dobina Paradizo,2,201,20102
choices_kebele,20102888009,Wuhalimat(buldugum),2,201,20102
choices_kebele,20102888010,Galafi Na Gemeri,2,201,20102
choices_kebele,20102888011,Abana Genisera,2,201,20102
choices_kebele,20102888012,Akuline Adado,2,201,20102
choices_kebele,20102888013,Dabuna Wuhan,2,201,20102
choices_kebele,20102888014,Dolana Lamasen,2,201,20102
choices_kebele,20102888015,Cigarona Tekibo,2,201,20102
choices_kebele,20103888001,Galifage,2,201,20103
choices_kebele,20103888002,Hinele,2,201,20103
choices_kebele,20103888003,Gehertu,2,201,20103
choices_kebele,20103888004,Handeg,2,201,20103
choices_kebele,20103888005,Berga,2,201,20103
choices_kebele,20103888006,Kerebuda,2,201,20103
choices_kebele,20103888007,Romayto,2,201,20103
choices_kebele,20103888008,Keredura,2,201,20103
choices_kebele,20103888009,Mamule,2,201,20103
choices_kebele,20103888010,Gelealo,2,201,20103
choices_kebele,20104888001,Allassabolo,2,201,20104
choices_kebele,20104888002,Humodoyta,2,201,20104
choices_kebele,20104888003,Mego,2,201,20104
choices_kebele,20104888004,Geneti,2,201,20104
choices_kebele,20104888005,Deka,2,201,20104
choices_kebele,20104888006,Hurrugubi,2,201,20104
choices_kebele,20104888007,Harrissa,2,201,20104
choices_kebele,20105888001,Gegana Burtele,2,201,20105
choices_kebele,20105888002,Bekeridear,2,201,20105
choices_kebele,20105888003,Hintimegeyta,2,201,20105
choices_kebele,20105888004,Harsis Na Bedalo,2,201,20105
choices_kebele,20105888005,Gesiyona Leas,2,201,20105
choices_kebele,20105888006,Gewtona Merga,2,201,20105
